id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18553344,2- Villa Lujosa En Binibeca,64324086,Javier,,Sant Lluís,39.8218,4.23569,Entire home/apt,190,7,0,,,11,343
18556882,1-Chalet de Lujo En Binibeca,64324086,Javier,,Sant Lluís,39.81942,4.23517,Entire home/apt,210,7,0,,,11,283
18579372,SA FERRADURA 331,128954614,Sonia,,Ciutadella de Menorca,40.00664,3.80201,Entire home/apt,170,2,1,2017-06-17,0.03,1,9
18595234,Acogedor apartamento con estupendas vistas al mar,128590878,Elena,,Es Mercadal,40.0194,4.1785,Entire home/apt,32,7,84,2020-03-15,2.37,1,22
18631674,Casa de pueblo bien ubicada y cómoda-planta y piso,11419516,Víctor,,Es Mercadal,40.05547,4.13085,Entire home/apt,350,3,0,,,2,290
18641078,Casa Republica Argentina,112840277,Rev-Pave Sl,,Ciutadella de Menorca,39.99593,3.83443,Entire home/apt,114,5,6,2019-08-14,0.17,24,237
18645857,Villa Penny,49977975,Richard,,Ciutadella de Menorca,39.97122,3.83326,Entire home/apt,91,4,1,2018-06-14,0.04,58,116
18652761,Na Foradada  Secluded Villa in Es Migjorn Gran,129612984,Eugenia,,Es Migjorn Gran,39.96411,4.03553,Entire home/apt,320,3,4,2019-07-22,0.20,1,328
18660073,VILLA SEAMAR  FRENTE A LA PLAYA DE BINIBECA.,67910967,Redorka,,Sant Lluís,39.81885,4.24292,Entire home/apt,122,7,0,,,27,126
18683423,Spectacular Villa in Binidalí with unbeatable sea,50350088,Marta,,Mahón,39.8326,4.19709,Entire home/apt,225,6,1,2017-10-07,0.03,26,0
18693552,Daydream with sea views and pool,5787654,Laura,,Sant Lluís,39.81895,4.24479,Entire home/apt,90,3,23,2019-09-23,0.66,7,298
18695324,Hermoso DUPLEX vistas al PUERTO,65883463,"Tina, Paco Y Manel",,Mahón,39.88183,4.27366,Entire home/apt,250,7,0,,,2,358
18695997,Terraza y aire acondicionado en Fornells,7456156,Valenti,,Es Mercadal,40.05298,4.12821,Entire home/apt,60,3,14,2019-09-14,0.41,8,183
18696190,VILLA CAPRICORN CON JARDÍN Y PISCINA,93877169,Carolina,,Ciutadella de Menorca,40.00853,3.79939,Entire home/apt,225,6,3,2018-09-21,0.09,36,127
18698491,Piso céntrico junto al puerto,129992578,Miguel,,Ciutadella de Menorca,39.99846,3.83065,Entire home/apt,110,7,4,2017-09-09,0.12,1,0
18701906,Son Bernadí. Casa rural con vistas al campo y mar,130019840,Josep,,Ciutadella de Menorca,40.03829,3.85075,Entire home/apt,200,3,7,2019-09-25,0.31,1,219
18702546,Apto. reformado  a 50 m.  del mar en Calan Blanes,56481250,Apartamentos,,Ciutadella de Menorca,40.00101,3.7996,Entire home/apt,40,6,0,,,12,189
18714441,BINIBECA BLUE luxury apartment in Menorca 6 pax,70295656,Víctor Manuel,,Sant Lluís,39.81906,4.23519,Entire home/apt,78,5,9,2019-09-03,0.26,7,251
18715415,Habitación zona tranquila para dos personas.,2270040,Belen,,Es Castell,39.87302,4.29852,Private room,75,3,34,2019-09-03,0.97,1,78
18715686,Casa Menorquina,21995112,Rosi,,Ciutadella de Menorca,39.96818,3.83172,Entire home/apt,80,6,12,2019-09-07,0.34,6,324
18720177,Inspirador y con piscina cerca de la playa.,130172364,Cala'N Blanes Park By NURI,,Ciutadella de Menorca,40.00568,3.81422,Entire home/apt,30,6,58,2019-09-13,1.63,2,229
18743432,FE02. Maravillosa villa con spa,7456156,Valenti,,Ferreries,39.98004,4.01418,Entire home/apt,175,4,10,2019-08-02,0.30,8,0
18755554,MENORCA - Apartamento en Arenal en Castell,129372992,Andreu,,Es Mercadal,40.02123,4.17749,Entire home/apt,70,5,18,2019-09-03,0.52,1,133
18781772,Inspirador y con picina a 350 metros de la playa.,130172364,Cala'N Blanes Park By NURI,,Ciutadella de Menorca,40.00345,3.81205,Entire home/apt,30,6,51,2019-11-20,1.45,2,1
18782612,RELAX JUNTO AL MAR.APM-2142,119764117,Guerrizallos,,Ciutadella de Menorca,40.00265,3.81208,Entire home/apt,33,3,27,2019-09-21,0.78,1,299
18785116,Family villa: ideal location in Biniancolla. Sleeps 8,10449184,HFL & Karla Brown,,Sant Lluís,39.81675,4.25706,Entire home/apt,135,3,12,2019-09-11,0.34,6,92
18788069,Apartamento - duplex primera linea puerto Mahón,12544697,Lina,,Mahón,39.8903,4.27222,Entire home/apt,76,4,43,2019-12-29,1.20,3,324
18791939,Hola,17081724,Adrian,,Mahón,39.9145,4.2221,Shared room,110,2,0,,,1,364
18797837,VILLA CAMPS,93877169,Carolina,,Ciutadella de Menorca,39.99017,3.83371,Entire home/apt,85,6,13,2019-08-27,0.38,36,170
